ID;ID_SITE;NB_CLI_AB_NA;MNT_PTF_AB_NA
1000;exp-bourg-en-bresse;106;122881
1090;exp-trevoux;13;17479
1100;exp-oyonnax;100;109057
1110;exp-hauteville-lompnes;100;115555
1120;exp-montluel;98;136265
1130;exp-oyonnax;21;25039
1140;exp-fleurie;12;18023
1150;exp-amberieu-en-bugey;69;70736
1160;exp-amberieu-en-bugey;39;44682
1170;exp-ferney-voltaire;111;140147
1190;exp-pont-de-vaux;75;90748
1200;exp-bellegarde-sur-valserine;94;148317
1210;exp-ferney-voltaire;57;93221
1220;exp-ferney-voltaire;80;104563
1230;exp-amberieu-en-bugey;31;88889
1240;exp-chalamont;15;9621
1250;exp-bourg-en-bresse;31;26784
1260;exp-hauteville-lompnes;16;14667
1270;exp-bourg-en-bresse;11;12184
1280;exp-ferney-voltaire;49;49665
1290;exp-macon;32;42869
1300;exp-les-abrets;27;32296
1310;exp-bourg-en-bresse;17;13774
1320;exp-chalamont;51;66059
1330;exp-chalamont;25;39225
1340;exp-bourg-en-bresse;34;41394
1350;exp-hauteville-lompnes;5;3696
1360;exp-montluel;55;70840
1370;exp-bourg-en-bresse;13;11763
1380;exp-pont-de-vaux;22;16227
1390;exp-trevoux;43;74898
1400;exp-chalamont;23;20614
1410;exp-bellegarde-sur-valserine;16;16218
1420;exp-rumilly;2;1218
1430;exp-oyonnax;11;14008
1440;exp-bourg-en-bresse;24;27671
1450;exp-amberieu-en-bugey;9;13436
1460;exp-oyonnax;36;56020
1470;exp-amberieu-en-bugey;4;3911
1480;exp-trevoux;28;59418
1500;exp-amberieu-en-bugey;179;203781
1510;exp-hauteville-lompnes;2;492
1540;exp-bourg-en-bresse;12;24338
1550;exp-bellegarde-sur-valserine;15;12014
1560;exp-pont-de-vaux;22;23587
1570;exp-pont-de-vaux;18;22155
1580;exp-oyonnax;9;13112
1590;exp-oyonnax;10;12133
1600;exp-trevoux;90;134465
1630;exp-ferney-voltaire;79;97674
1640;exp-amberieu-en-bugey;19;27110
1660;exp-bourg-en-bresse;3;4868
