ID;ID_SITE;ZONE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR;COD_ANL;LIB_ANL;ZONE_THEORIQUE
1000;exp-bourg-en-bresse;effective;1;518;3;D.G.R./EST;31;D.R./DIJON;39020;SAINT CLAUDE;exp-saint-claude                                  
1000;exp-bourg-en-bresse;effective;2;474;3;D.G.R./EST;31;D.R./DIJON;71010;MACON PL;exp-macon                                         
1000;exp-bourg-en-bresse;effective;1;743;3;D.G.R./EST;31;D.R./DIJON;71510;LA CLAYETTE;exp-la-clayette                                   
1000;exp-bourg-en-bresse;effective;1;48;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;63010;CLERMONT FERRAND -A-;exp-clermont-ferrand                              
1000;exp-bourg-en-bresse;theorique;73;75234;4;D.G.R./CENTRE EST;44;D.R./LYON;1010;BOURG EN BRESSE;exp-bourg-en-bresse                               
1000;exp-bourg-en-bresse;effective;6;11994;4;D.G.R./CENTRE EST;44;D.R./LYON;1050;BELLEGARDE SUR VALSERINE;exp-bellegarde-sur-valserine                      
1000;exp-bourg-en-bresse;effective;1;200;4;D.G.R./CENTRE EST;44;D.R./LYON;1520;OYONNAX;exp-oyonnax                                       
1000;exp-bourg-en-bresse;effective;1;120;4;D.G.R./CENTRE EST;44;D.R./LYON;1540;FERNEY VOLTAIRE;exp-ferney-voltaire                               
1000;exp-bourg-en-bresse;effective;1;1146;4;D.G.R./CENTRE EST;44;D.R./LYON;1550;CHALAMONT;exp-chalamont                                     
1000;exp-bourg-en-bresse;effective;4;2858;4;D.G.R./CENTRE EST;44;D.R./LYON;1560;AMBERIEU EN BUGEY -A-;exp-amberieu-en-bugey                             
1000;exp-bourg-en-bresse;effective;2;3510;4;D.G.R./CENTRE EST;44;D.R./LYON;1570;TREVOUX;exp-trevoux                                       
1000;exp-bourg-en-bresse;effective;2;1420;4;D.G.R./CENTRE EST;44;D.R./LYON;1580;PONT DE VAUX;exp-pont-de-vaux                                  
1000;exp-bourg-en-bresse;effective;1;431;4;D.G.R./CENTRE EST;44;D.R./LYON;69030;VILLEFRANCHE SUR SAONE;exp-villefrance-sur-saone                         
1000;exp-bourg-en-bresse;effective;6;18265;4;D.G.R./CENTRE EST;44;D.R./LYON;69070;LYON NOTAIRES;exp-lyon                                          
1000;exp-bourg-en-bresse;effective;2;2027;4;D.G.R./CENTRE EST;44;D.R./LYON;69630;LYON -C-;exp-lyon                                          
1000;exp-bourg-en-bresse;effective;2;3893;5;D.G.R./SUD EST;55;D.R./ARLES;30080;NIMES PL;exp-nimes                                         
1090;exp-trevoux;effective;2;2200;3;D.G.R./EST;31;D.R./DIJON;39510;DOLE;exp-dole                                          
1090;exp-trevoux;effective;1;1675;3;D.G.R./EST;31;D.R./DIJON;71510;LA CLAYETTE;exp-la-clayette                                   
1090;exp-trevoux;theorique;4;2726;4;D.G.R./CENTRE EST;44;D.R./LYON;1570;TREVOUX;exp-trevoux                                       
1090;exp-trevoux;effective;3;5009;4;D.G.R./CENTRE EST;44;D.R./LYON;69030;VILLEFRANCHE SUR SAONE;exp-villefrance-sur-saone                         
1090;exp-trevoux;effective;2;5557;4;D.G.R./CENTRE EST;44;D.R./LYON;69070;LYON NOTAIRES;exp-lyon                                          
1090;exp-trevoux;effective;1;312;4;D.G.R./CENTRE EST;44;D.R./LYON;69510;LYON -A-;exp-lyon                                          
1100;exp-oyonnax;effective;5;368;3;D.G.R./EST;31;D.R./DIJON;39020;SAINT CLAUDE;exp-saint-claude                                  
1100;exp-oyonnax;effective;18;25202;4;D.G.R./CENTRE EST;44;D.R./LYON;1010;BOURG EN BRESSE;exp-bourg-en-bresse                               
1100;exp-oyonnax;theorique;63;54867;4;D.G.R./CENTRE EST;44;D.R./LYON;1520;OYONNAX;exp-oyonnax                                       
1100;exp-oyonnax;effective;3;806;4;D.G.R./CENTRE EST;44;D.R./LYON;1530;HAUTEVILLE LOMPNES;exp-hauteville-lompnes                            
1100;exp-oyonnax;effective;1;281;4;D.G.R./CENTRE EST;44;D.R./LYON;1550;CHALAMONT;exp-chalamont                                     
1100;exp-oyonnax;effective;2;750;4;D.G.R./CENTRE EST;44;D.R./LYON;1560;AMBERIEU EN BUGEY -A-;exp-amberieu-en-bugey                             
1100;exp-oyonnax;effective;2;11023;4;D.G.R./CENTRE EST;44;D.R./LYON;69070;LYON NOTAIRES;exp-lyon                                          
1100;exp-oyonnax;effective;6;15760;4;D.G.R./CENTRE EST;44;D.R./LYON;69630;LYON -C-;exp-lyon                                          
1110;exp-hauteville-lompnes;effective;11;15429;4;D.G.R./CENTRE EST;44;D.R./LYON;1050;BELLEGARDE SUR VALSERINE;exp-bellegarde-sur-valserine                      
1110;exp-hauteville-lompnes;effective;6;12225;4;D.G.R./CENTRE EST;44;D.R./LYON;1520;OYONNAX;exp-oyonnax                                       
1110;exp-hauteville-lompnes;theorique;82;87367;4;D.G.R./CENTRE EST;44;D.R./LYON;1530;HAUTEVILLE LOMPNES;exp-hauteville-lompnes                            
