ID;ID_SITE;ZONE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR;SITE_THEORIQUE
1000;exp-clermont-ferrand;effective;1;48;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;exp-bourg-en-bresse
1090;exp-la-clayette;effective;1;1675;3;D.G.R./EST;31;D.R./DIJON;exp-trevoux
1100;exp-bourg-en-bresse;effective;18;25202;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-oyonnax
1120;exp-amberieu-en-bugey;effective;5;11321;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-montluel
1130;exp-oyonnax;theorique;7;4384;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-oyonnax
1140;exp-trevoux;effective;2;3302;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-fleurie
1150;exp-amberieu-en-bugey;theorique;48;47505;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-amberieu-en-bugey
1150;exp-la-tour-du-pin;effective;1;204;4;D.G.R./CENTRE EST;45;D.R./VIENNE;exp-amberieu-en-bugey
1160;exp-trevoux;effective;1;1721;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-amberieu-en-bugey
1170;exp-bourg-en-bresse;effective;1;1252;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-ferney-voltaire
1220;exp-chalamont;effective;1;200;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-ferney-voltaire
1220;exp-lyon;effective;1;400;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-ferney-voltaire
1250;exp-miribel;effective;1;990;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-bourg-en-bresse
1270;exp-annecy;effective;1;220;4;D.G.R./CENTRE EST;43;D.R./ANNECY;exp-bourg-en-bresse
1280;exp-ferney-voltaire;theorique;47;49118;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-ferney-voltaire
1320;exp-bourg-en-bresse;effective;4;5976;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-chalamont
1380;exp-chalon-sur-saone;effective;1;294;3;D.G.R./EST;31;D.R./DIJON;exp-pont-de-vaux
1400;exp-bourg-en-bresse;effective;8;6239;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-chalamont
1410;exp-annemasse;effective;2;3065;4;D.G.R./CENTRE EST;43;D.R./ANNECY;exp-bellegarde-sur-valserine
1410;exp-bellegarde-sur-valserine;theorique;6;6024;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-bellegarde-sur-valserine
1430;exp-bourg-en-bresse;effective;4;3975;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-oyonnax
1450;exp-amberieu-en-bugey;theorique;5;8742;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-amberieu-en-bugey
1460;exp-louhans;effective;1;429;3;D.G.R./EST;31;D.R./DIJON;exp-oyonnax
1500;exp-trevoux;effective;2;2090;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-amberieu-en-bugey
1560;exp-louhans;effective;2;2469;3;D.G.R./EST;31;D.R./DIJON;exp-pont-de-vaux
1560;exp-pont-de-vaux;theorique;9;11102;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-pont-de-vaux
1580;exp-bourg-en-bresse;effective;3;2604;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-oyonnax
1580;exp-oyonnax;theorique;4;9548;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-oyonnax
1600;exp-annecy;effective;2;820;4;D.G.R./CENTRE EST;43;D.R./ANNECY;exp-trevoux
1630;exp-lyon;effective;2;3604;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-ferney-voltaire
1700;exp-montluel;effective;10;6857;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-miribel
1800;exp-trevoux;effective;4;2700;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-chalamont
1800;exp-lyon;effective;4;13429;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-chalamont
1851;exp-bourg-en-bresse;theorique;5;12199;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-bourg-en-bresse
1960;exp-oyonnax;effective;1;897;4;D.G.R./CENTRE EST;44;D.R./LYON;exp-bourg-en-bresse
