ID_SITE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR
exp-vence;127;138745;5;D.G.R./SUD EST;51;D.R./NICE;
exp-menton;216;377863;5;D.G.R./SUD EST;51;D.R./NICE;
exp-nice;173;316433;5;D.G.R./SUD EST;51;D.R./NICE;
exp-saint-claude;271;265328;3;D.G.R./EST;31;D.R./DIJON;
exp-la-clayette;140;174232;3;D.G.R./EST;31;D.R./DIJON;
exp-bellegarde-sur-valserine;274;366093;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-dole;262;370932;3;D.G.R./EST;31;D.R./DIJON;
exp-nevers;679;835838;3;D.G.R./EST;34;D.R./AUXERRE;
exp-auch;317;252037;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-charlieu;347;249146;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-chalons-en-champagne;144;73933;3;D.G.R./EST;32;D.R./NANCY;
exp-reims;140;193205;3;D.G.R./EST;32;D.R./NANCY;
exp-guillestre;145;115612;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-cambrai;134;243880;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-crepy-en-valois;112;144988;2;D.G.R./NORD;21;D.R./AMIENS;
exp-vierzon;210;299298;2;D.G.R./NORD;23;D.R./BLOIS;
exp-vichy;103;120215;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-le-puy-en-velay;234;232579;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-chatillon-en-bazois;277;431498;3;D.G.R./EST;34;D.R./AUXERRE;
exp-lalinde;171;147967;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-chateauroux;229;326214;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-sisteron;176;203050;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-manosque;113;97854;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-marseille;602;1333321;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-issoudun;157;187941;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-saintes-maries-de-la-mer;102;244127;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-montauroux;88;93870;5;D.G.R./SUD EST;51;D.R./NICE;
exp-mont-saint-aignan;625;800459;2;D.G.R./NORD;25;D.R./ROUEN;
exp-penta-di-casinca;244;543166;5;D.G.R./SUD EST;51;D.R./NICE;
exp-ales;280;394502;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-crest;132;114398;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-etampes;129;148383;2;D.G.R./NORD;26;D.R./PARIS;
exp-ajaccio;286;625106;5;D.G.R./SUD EST;51;D.R./NICE;
exp-beziers-centre;168;88581;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-chatellerault;141;162750;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-espalion;165;103947;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-villefrance-de-rouergue;257;206881;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-lacaune;107;160670;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-pontarlier;89;106506;3;D.G.R./EST;31;D.R./DIJON;
exp-saint-herblain;666;494431;1;D.G.R./OUEST;12;D.R./NANTES;
exp-les-ponts-de-ce;1681;3105489;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-saint-etienne;185;185181;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-saint-nazaire;241;232790;1;D.G.R./OUEST;12;D.R./NANTES;
exp-avranches;78;107138;2;D.G.R./NORD;25;D.R./ROUEN;
exp-tregueux;595;581278;1;D.G.R./OUEST;14;D.R./RENNES;
exp-evreux;296;353082;2;D.G.R./NORD;25;D.R./ROUEN;
exp-langon;353;550872;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-saint-gaudens;323;429151;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-podensac;242;375974;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-romorantin;126;216688;2;D.G.R./NORD;23;D.R./BLOIS;
exp-perigueux;337;523603;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-propriano;91;180525;5;D.G.R./SUD EST;51;D.R./NICE;
exp-lannion;270;261457;1;D.G.R./OUEST;14;D.R./RENNES;
exp-tarbes;180;262344;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-pau;202;294150;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-saint-geours-de-maremne;109;93144;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-blois;1173;1827386;2;D.G.R./NORD;23;D.R./BLOIS;
exp-lyon;1585;2815512;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-castelnaudary;130;142709;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-bordeaux;802;1350231;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-saint-girons;338;480419;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-villeneuve-d-ascq;1366;1887068;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-macon;600;506523;3;D.G.R./EST;31;D.R./DIJON;
exp-oyonnax;135;125403;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-pont-de-vaux;109;145111;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-morez;114;156910;3;D.G.R./EST;31;D.R./DIJON;
exp-thonon-les-bains;81;119104;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-vannes;1047;696352;1;D.G.R./OUEST;12;D.R./NANTES;
exp-thones;163;173542;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-saint-pee-sur-nivelle;169;78978;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-saint-quentin;239;493398;2;D.G.R./NORD;21;D.R./AMIENS;
exp-guebwiller;49;26444;3;D.G.R./EST;31;D.R./DIJON;
exp-verdun;175;189233;3;D.G.R./EST;32;D.R./NANCY;
exp-saint-eloy-les-mines;49;122511;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-agen;337;93595;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-barcelonnette;109;56582;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-le-lavandou;218;242308;5;D.G.R./SUD EST;51;D.R./NICE;
exp-bourg-saint-maurice;357;298392;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-antibes;134;185400;5;D.G.R./SUD EST;51;D.R./NICE;
exp-villers-les-nancy;360;447142;3;D.G.R./EST;32;D.R./NANCY;
exp-aurillac;58;75193;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-pont-sainte-maxence;84;61760;2;D.G.R./NORD;21;D.R./AMIENS;
exp-privas;249;185622;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-narbonne;777;1022400;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-die;113;59344;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-lamastre;128;59401;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-charleville-mezieres;87;44266;3;D.G.R./EST;32;D.R./NANCY;
exp-bagnols-sur-ceze;346;207592;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-chaumont;181;382137;3;D.G.R./EST;31;D.R./DIJON;
exp-castres;200;229642;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-dunkerque;162;280208;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-bedarieux;400;203662;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-meru;163;339145;2;D.G.R./NORD;21;D.R./AMIENS;
exp-la-roche-sur-yon;478;572655;1;D.G.R./OUEST;12;D.R./NANTES;
exp-ghisonaccia;125;162702;5;D.G.R./SUD EST;51;D.R./NICE;
exp-bagneres-de-luchon;157;197626;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-caen;206;191460;2;D.G.R./NORD;25;D.R./ROUEN;
exp-vitre;194;218120;1;D.G.R./OUEST;14;D.R./RENNES;
exp-coutances;266;225988;2;D.G.R./NORD;25;D.R./ROUEN;
exp-royan-nord;379;961568;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-saint-junien;152;150484;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-les-sables-d-olonne;496;790034;1;D.G.R./OUEST;12;D.R./NANTES;
exp-fontenay-le-comte;70;68384;1;D.G.R./OUEST;12;D.R./NANTES;
exp-sancerre;151;392872;2;D.G.R./NORD;23;D.R./BLOIS;
exp-saint-agathon;199;95236;1;D.G.R./OUEST;14;D.R./RENNES;
exp-brive;326;526304;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-autun;142;155899;3;D.G.R./EST;31;D.R./DIJON;
exp-Font Romeu;75;92946;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-gournay-en-bray;149;157044;2;D.G.R./NORD;21;D.R./AMIENS;
exp-bayonne;155;157817;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-montauban;167;105591;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-salies-de-bearn;141;236655;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-ploermel;143;133689;1;D.G.R./OUEST;12;D.R./NANTES;
exp-montbrison;95;64666;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-langeac;79;126716;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-mirecourt;102;87370;3;D.G.R./EST;32;D.R./NANCY;
exp-conflans-en-jarnisy;124;195464;3;D.G.R./EST;32;D.R./NANCY;
exp-obernai;71;120233;3;D.G.R./EST;32;D.R./NANCY;
exp-aixe-sur-vienne;47;27128;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-cluses;161;173312;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-aravis;292;229649;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-villefrance-sur-saone;310;640721;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-louhans;260;204834;3;D.G.R./EST;31;D.R./DIJON;
exp-la-tour-du-pin;97;107302;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-montbeliard;173;175269;3;D.G.R./EST;31;D.R./DIJON;
exp-monistrol-sur-loire;183;231495;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-saint-jean-de-bournay;314;446516;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-tours;1913;2476212;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-valence;501;689782;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-soissons;155;295510;2;D.G.R./NORD;21;D.R./AMIENS;
exp-amiens;632;713290;2;D.G.R./NORD;21;D.R./AMIENS;
exp-la-croix-saint-ouen;364;604278;2;D.G.R./NORD;21;D.R./AMIENS;
exp-maubeuge;73;78850;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-moulins;122;174979;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-la-chatre;465;444562;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-digne-les-bains;419;613886;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-muret;203;172574;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-briancon;102;89557;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-salon-de-provence;174;206674;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-alencon;342;408263;2;D.G.R./NORD;25;D.R./ROUEN;
exp-le-beausset;76;80701;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-gisors;311;395716;2;D.G.R./NORD;21;D.R./AMIENS;
exp-annonay;162;182061;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-laval;356;394354;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-bruguieres;253;277751;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-montrejeau;167;174776;6;D.G.R./SUD OUEST;67;D.R./PAU;
