Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;01187;Haut Valromey;01176;Grand-Abergement (Le);01187;01260;HAUT VALROMEY;LE GRAND ABERGEMENT;01176;01176;01260;LE GRAND ABERGEMENT;;
DÉCEMBRE 2016;01095;Nivigne et Suran;01172;Germagnat;01095;01250;NIVIGNE ET SURAN;GERMAGNAT;01172;01172;01250;GERMAGNAT;;
DÉCEMBRE 2016;02439;Septvallons (Les);02348;Glennes;02439;02160;LES SEPTVALLONS;GLENNES;02348;02348;02160;GLENNES;;
FÉVRIER 2016;01286;Parves et Nattages;01286;Parves;01286;01300;PARVES ET NATTAGES;PARVES;;01286;01300;PARVES;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14128;Campandré-Valcongrain;14027;14260;LES MONTS D AUNAY;CAMPANDRE VALCONGRAIN;14128;14128;14260;CAMPANDRE VALCONGRAIN;;
FÉVRIER 2016;10003;Aix-Villemaur-Pâlis;10415;Villemaur-sur-Vanne;10003;10190;AIX VILLEMAUR PALIS;VILLEMAUR SUR VANNE;10415;10415;10190;VILLEMAUR SUR VANNE;;
DÉCEMBRE 2016;11080;Val de Lambronne;11171;Gueytes-et-Labastide;11080;11230;VAL DE LAMBRONNE;GUEYTES ET LABASTIDE;11171;11171;11230;GUEYTES ET LABASTIDE;;
DÉCEMBRE 2016;12021;Bas Ségala (Le);12245;Saint-Salvadou;12021;12200;LE BAS SEGALA;ST SALVADOU;12245;12245;12200;ST SALVADOU;;
FÉVRIER 2016;12177;Palmas d'Aveyron;12081;Coussergues;12177;12310;PALMAS D AVEYRON;COUSSERGUES;12081;12081;12310;COUSSERGUES;;
JUILLET 2016;08490;Vouziers;08443;Terron-sur-Aisne;08490;08400;VOUZIERS;TERRON SUR AISNE;08443;08443;08400;TERRON SUR AISNE;;
